"ADDRESS","ANNUALREVENUE","CITY","CLEANSTATUS","COMPANY","COMPANYDUNSNUMBER","CONVERTEDACCOUNTID","CONVERTEDCONTACTID","CONVERTEDDATE","CONVERTEDOPPORTUNITYID","COUNTRY","CREATEDBYID","CREATEDDATE","DANDBCOMPANYID","DESCRIPTION","EMAIL","CURRENTGENERATORS__C","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","GEOCODEACCURACY","ID","INDIVIDUALID","INDUSTRY","ISDELETED","ISUNREADBYOWNER","JIGSAW","ISCONVERTED","JIGSAWCONTACTID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LATITUDE","LONGITUDE","MASTERRECORDID","LEADSOURCE","MOBILEPHONE","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OWNERID","PHONE","PHOTOURL","POSTALCODE","PRIMARY__C","PRODUCTINTEREST__C","RATING","SICCODE__C","SALUTATION","STATE","STREET","STATUS","SYSTEMMODSTAMP","TITLE","WEBSITE"
"","","","Pending","Hendrickson Trading","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","pam_owenby@hendricksontrading.com","John Deere","","","","Pamela","","00Q2w00000O7PN3EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Owenby","","","","","","Partner Referral","","Pamela Owenby","","3.0","0052w00000B4VTyAAN","(570) 326-1571","/services/images/photo/00Q2w00000O7PN3EAN","","Yes","GC5000 series","","7267","Ms","PA","","Closed - Not Converted","2023-01-12T23:20:38.000Z","SVP, Technology",""
"","","","Pending","Cadinal Inc.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","brenda@cardinal.net","All","","","","Brenda","","00Q2w00000O7PMyEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Mcclure","","","","","","Web","","Brenda Mcclure","","130.0","0052w00000B4VTyAAN","(847) 262-5000","/services/images/photo/00Q2w00000O7PMyEAN","","Yes","GC5000 series","","2768","Ms","IL","","Working - Contacted","2023-01-12T23:20:38.000Z","CFO",""
"","","","Pending","Emerson Transport","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","violetm@emersontransport.com","All","","","","Violet","","00Q2w00000O7PMzEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Maccleod","","","","","","Phone Inquiry","","Violet Maccleod","","130.0","0052w00000B4VTyAAN","(770) 395-2370","/services/images/photo/00Q2w00000O7PMzEAN","","Yes","GC5000 series","","2768","Ms","GA","","Working - Contacted","2023-01-12T23:20:38.000Z","VP, Finance",""
"","","","Pending","Jackson Controls","","","","","","Taiwan","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","jeffg@jackson.com","All","","","","Jeff","","00Q2w00000O7PMvEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Glimpse","","","","","","Phone Inquiry","","Jeff Glimpse","","130.0","0052w00000B4VTyAAN","886-2-25474189","/services/images/photo/00Q2w00000O7PMvEAN","","Yes","GC5000 series","","2768","Mr","","","Open - Not Contacted","2023-01-12T23:20:38.000Z","SVP, Procurement",""
"","","","Pending","TNR Corp.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","ksynder@tnr.net","All","","","","Kathy","","00Q2w00000O7PN0EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Snyder","","","","","","Purchased List","","Kathy Snyder","","130.0","0052w00000B4VTyAAN","(860) 273-0123","/services/images/photo/00Q2w00000O7PN0EAN","","Yes","GC5000 series","","2768","Ms","CT","","Working - Contacted","2023-01-12T23:20:38.000Z","Regional General Manager",""
"","","","Pending","American Banking Corp.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","bblair@abankingco.com","All","","","","Betty","","00Q2w00000O7PNEEA3","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Bair","","","","","","Purchased List","","Betty Bair","","130.0","0052w00000B4VTyAAN","(610) 265-9100","/services/images/photo/00Q2w00000O7PNEEA3","","Yes","GC5000 series","","2768","Ms","PA","","Working - Contacted","2023-01-12T23:20:38.000Z","VP, Administration",""
"","","","Pending","Western Telecommunications Corp.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","shellyb@westerntelecom.com","All","","","","Shelly","","00Q2w00000O7PN2EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Brownell","","","","","","Partner Referral","","Shelly Brownell","","130.0","0052w00000B4VTyAAN","(408) 326-9000","/services/images/photo/00Q2w00000O7PN2EAN","","Yes","GC5000 series","","2768","Ms","CA","","Working - Contacted","2023-01-12T23:20:38.000Z","SVP, Technology",""
"","9.0075E8","Tallahassee","Pending","Farmers Coop. of Florida","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","bertha@fcof.net","All","","","(850) 644-4300","Bertha","","00Q2w00000O7PMtEAN","","Agriculture","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Boxer","","","","","","Web","","Bertha Boxer","","130.0","0052w00000B4VTyAAN","(850) 644-4200","/services/images/photo/00Q2w00000O7PMtEAN","32306","Yes","GC5000 series","Hot","2768","Ms.","FL","321 Westcott Building","Working - Contacted","2023-01-12T23:20:38.000Z","Director of Vendor Relations",""
"","","","Pending","Ace Iron and Steel Inc.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","carolync@aceis.com","All","","","","Carolyn","","00Q2w00000O7PN9EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Crenshaw","","","","","","Phone Inquiry","","Carolyn Crenshaw","","130.0","0052w00000B4VTyAAN","(251) 679-2200","/services/images/photo/00Q2w00000O7PN9EAN","","Yes","GC5000 series","","2768","Ms","AL","","Closed - Not Converted","2023-01-12T23:20:38.000Z","VP, Technology",""
"","","","Pending","International Shipping Co.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","patricia_feager@is.com","All","","","","Patricia","","00Q2w00000O7PMxEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Feager","","","","","","Partner Referral","","Patricia Feager","","130.0","0052w00000B4VTyAAN","(336) 777-1970","/services/images/photo/00Q2w00000O7PMxEAN","","Yes","GC5000 series","","2768","Ms","NC","","Working - Contacted","2023-01-12T23:20:38.000Z","CEO",""
"","","","Pending","Dickenson plc","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","a_young@dickenson.com","All","","","","Andy","","00Q2w00000O7PN6EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Young","","","","","","Purchased List","","Andy Young","","130.0","0052w00000B4VTyAAN","(620) 241-6200","/services/images/photo/00Q2w00000O7PN6EAN","","Yes","GC5000 series","","2768","Mr","KS","","Closed - Converted","2023-01-12T23:20:38.000Z","SVP, Operations",""
"","","","Pending","Blues Entertainment Corp.","","","","","","Japan","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","david@blues.com","All","","","","David","","00Q2w00000O7PN8EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Monaco","","","","","","Purchased List","","David Monaco","","130.0","0052w00000B4VTyAAN","(033) 452-1299","/services/images/photo/00Q2w00000O7PN8EAN","","Yes","GC5000 series","","2768","Mr","","","Working - Contacted","2023-01-12T23:20:38.000Z","CFO",""
